"","commarea","geoid10","community"
"1","44","17031842400","CHATHAM"
"2","59","17031840300","MCKINLEY PARK"
"3","34","17031841100","ARMOUR SQUARE"
"4","31","17031841200","LOWER WEST SIDE"
"5","32","17031839000","LOOP"
"6","28","17031838200","NEAR WEST SIDE"
"7","65","17031650301","WEST LAWN"
"8","53","17031530503","WEST PULLMAN"
"9","76","17031760803","OHARE"
"10","77","17031030601","EDGEWATER"
"11","77","17031030604","EDGEWATER"
"12","2","17031020801","WEST RIDGE"
"13","54","17031540102","RIVERDALE"
"14","29","17031843300","NORTH LAWNDALE"
"15","54","17031540101","RIVERDALE"
"16","44","17031440201","CHATHAM"
"17","8","17031080202","NEAR NORTH SIDE"
"18","7","17031070102","LINCOLN PARK"
"19","3","17031031501","UPTOWN"
"20","3","17031031502","UPTOWN"
"21","67","17031834900","WEST ENGLEWOOD"
"22","68","17031834800","ENGLEWOOD"
"23","16","17031160502","IRVING PARK"
"24","14","17031140702","ALBANY PARK"
"25","35","17031842000","DOUGLAS"
"26","15","17031150402","PORTAGE PARK"
"27","42","17031834400","WOODLAWN"
"28","4","17031040201","LINCOLN SQUARE"
"29","4","17031040202","LINCOLN SQUARE"
"30","2","17031020702","WEST RIDGE"
"31","2","17031020802","WEST RIDGE"
"32","2","17031020301","WEST RIDGE"
"33","29","17031838700","NORTH LAWNDALE"
"34","2","17031020601","WEST RIDGE"
"35","29","17031841500","NORTH LAWNDALE"
"36","29","17031838600","NORTH LAWNDALE"
"37","27","17031837300","EAST GARFIELD PARK"
"38","2","17031020602","WEST RIDGE"
"39","6","17031063301","LAKE VIEW"
"40","28","17031837800","NEAR WEST SIDE"
"41","27","17031837400","EAST GARFIELD PARK"
"42","27","17031836900","EAST GARFIELD PARK"
"43","2","17031020302","WEST RIDGE"
"44","2","17031020902","WEST RIDGE"
"45","1","17031010701","ROGERS PARK"
"46","77","17031030103","EDGEWATER"
"47","6","17031063303","LAKE VIEW"
"48","77","17031030102","EDGEWATER"
"49","1","17031010502","ROGERS PARK"
"50","1","17031010503","ROGERS PARK"
"51","1","17031010702","ROGERS PARK"
"52","27","17031837100","EAST GARFIELD PARK"
"53","27","17031837000","EAST GARFIELD PARK"
"54","1","17031010201","ROGERS PARK"
"55","2","17031020901","WEST RIDGE"
"56","4","17031040401","LINCOLN SQUARE"
"57","21","17031210602","AVONDALE"
"58","16","17031160501","IRVING PARK"
"59","19","17031191302","BELMONT CRAGIN"
"60","19","17031190602","BELMONT CRAGIN"
"61","60","17031840200","BRIDGEPORT"
"62","53","17031530501","WEST PULLMAN"
"63","2","17031020701","WEST RIDGE"
"64","25","17031831400","AUSTIN"
"65","25","17031831300","AUSTIN"
"66","1","17031010501","ROGERS PARK"
"67","28","17031833000","NEAR WEST SIDE"
"68","76","17031760801","OHARE"
"69","25","17031252101","AUSTIN"
"70","25","17031252102","AUSTIN"
"71","25","17031252202","AUSTIN"
"72","22","17031220601","LOGAN SQUARE"
"73","21","17031210502","AVONDALE"
"74","22","17031220602","LOGAN SQUARE"
"75","22","17031220901","LOGAN SQUARE"
"76","22","17031220902","LOGAN SQUARE"
"77","20","17031200401","HERMOSA"
"78","20","17031200402","HERMOSA"
"79","19","17031191301","BELMONT CRAGIN"
"80","19","17031190601","BELMONT CRAGIN"
"81","19","17031190701","BELMONT CRAGIN"
"82","19","17031190702","BELMONT CRAGIN"
"83","19","17031190401","BELMONT CRAGIN"
"84","19","17031190402","BELMONT CRAGIN"
"85","6","17031832100","LAKE VIEW"
"86","61","17031843800","NEW CITY"
"87","58","17031842800","BRIGHTON PARK"
"88","35","17031351500","DOUGLAS"
"89","56","17031980100","GARFIELD RIDGE"
"90","28","17031833300","NEAR WEST SIDE"
"91","28","17031832900","NEAR WEST SIDE"
"92","28","17031838000","NEAR WEST SIDE"
"93","28","17031838100","NEAR WEST SIDE"
"94","77","17031030706","EDGEWATER"
"95","38","17031381500","GRAND BOULEVARD"
"96","28","17031833100","NEAR WEST SIDE"
"97","32","17031839100","LOOP"
"98","8","17031081201","NEAR NORTH SIDE"
"99","15","17031150401","PORTAGE PARK"
"100","15","17031150501","PORTAGE PARK"
"101","29","17031843000","NORTH LAWNDALE"
"102","28","17031842900","NEAR WEST SIDE"
"103","23","17031842100","HUMBOLDT PARK"
"104","28","17031841900","NEAR WEST SIDE"
"105","8","17031080201","NEAR NORTH SIDE"
"106","7","17031070101","LINCOLN PARK"
"107","8","17031081202","NEAR NORTH SIDE"
"108","4","17031040402","LINCOLN SQUARE"
"109","22","17031220702","LOGAN SQUARE"
"110","14","17031140301","ALBANY PARK"
"111","8","17031842200","NEAR NORTH SIDE"
"112","5","17031843700","NORTH CENTER"
"113","66","17031835000","CHICAGO LAWN"
"114","24","17031842300","WEST TOWN"
"115","23","17031230200","HUMBOLDT PARK"
"116","63","17031835100","GAGE PARK"
"117","68","17031834700","ENGLEWOOD"
"118","15","17031151001","PORTAGE PARK"
"119","15","17031151002","PORTAGE PARK"
"120","16","17031160602","IRVING PARK"
"121","14","17031140601","ALBANY PARK"
"122","14","17031140701","ALBANY PARK"
"123","14","17031140602","ALBANY PARK"
"124","39","17031390500","KENWOOD"
"125","69","17031841800","GREATER GRAND CROSSING"
"126","69","17031842500","GREATER GRAND CROSSING"
"127","61","17031842600","NEW CITY"
"128","30","17031843500","SOUTH LAWNDALE"
"129","29","17031843400","NORTH LAWNDALE"
"130","14","17031140302","ALBANY PARK"
"131","11","17031110501","JEFFERSON PARK"
"132","39","17031390400","KENWOOD"
"133","31","17031843200","LOWER WEST SIDE"
"134","30","17031840800","SOUTH LAWNDALE"
"135","11","17031110502","JEFFERSON PARK"
"136","76","17031760802","OHARE"
"137","15","17031150502","PORTAGE PARK"
"138","29","17031843100","NORTH LAWNDALE"
"139","45","17031834300","AVALON PARK"
"140","42","17031843900","WOODLAWN"
"141","20","17031831200","HERMOSA"
"142","18","17031831600","MONTCLARE"
"143","19","17031831500","BELMONT CRAGIN"
"144","21","17031831100","AVONDALE"
"145","15","17031831700","PORTAGE PARK"
"146","27","17031271500","EAST GARFIELD PARK"
"147","44","17031440202","CHATHAM"
"148","44","17031440102","CHATHAM"
"149","43","17031430102","SOUTH SHORE"
"150","77","17031030702","EDGEWATER"
"151","77","17031030603","EDGEWATER"
"152","77","17031030701","EDGEWATER"
"153","41","17031836300","HYDE PARK"
"154","8","17031838300","NEAR NORTH SIDE"
"155","60","17031839800","BRIDGEPORT"
"156","23","17031836600","HUMBOLDT PARK"
"157","73","17031730202","WASHINGTON HEIGHTS"
"158","43","17031430101","SOUTH SHORE"
"159","6","17031063302","LAKE VIEW"
"160","41","17031836200","HYDE PARK"
"161","7","17031071400","LINCOLN PARK"
"162","60","17031840100","BRIDGEPORT"
"163","58","17031580502","BRIGHTON PARK"
"164","29","17031841400","NORTH LAWNDALE"
"165","8","17031081401","NEAR NORTH SIDE"
"166","8","17031081403","NEAR NORTH SIDE"
"167","77","17031030703","EDGEWATER"
"168","38","17031836000","GRAND BOULEVARD"
"169","38","17031835800","GRAND BOULEVARD"
"170","38","17031835900","GRAND BOULEVARD"
"171","40","17031834500","WASHINGTON PARK"
"172","38","17031843600","GRAND BOULEVARD"
"173","58","17031580501","BRIGHTON PARK"
"174","68","17031834600","ENGLEWOOD"
"175","13","17031831800","NORTH PARK"
"176","7","17031071600","LINCOLN PARK"
"177","7","17031832600","LINCOLN PARK"
"178","6","17031061901","LAKE VIEW"
"179","60","17031839900","BRIDGEPORT"
"180","77","17031030104","EDGEWATER"
"181","76","17031770602","OHARE"
"182","60","17031839700","BRIDGEPORT"
"183","56","17031835200","GARFIELD RIDGE"
"184","46","17031833900","SOUTH CHICAGO"
"185","27","17031836800","EAST GARFIELD PARK"
"186","51","17031838800","SOUTH DEERING"
"187","23","17031836700","HUMBOLDT PARK"
"188","22","17031832200","LOGAN SQUARE"
"189","25","17031252201","AUSTIN"
"190","22","17031831000","LOGAN SQUARE"
"191","22","17031832400","LOGAN SQUARE"
"192","7","17031070103","LINCOLN PARK"
"193","22","17031220701","LOGAN SQUARE"
"194","29","17031841600","NORTH LAWNDALE"
"195","76","17031770902","OHARE"
"196","66","17031660301","CHICAGO LAWN"
"197","66","17031660302","CHICAGO LAWN"
"198","30","17031301802","SOUTH LAWNDALE"
"199","49","17031834000","ROSELAND"
"200","43","17031834200","SOUTH SHORE"
"201","73","17031730201","WASHINGTON HEIGHTS"
"202","37","17031835500","FULLER PARK"
"203","35","17031839500","DOUGLAS"
"204","35","17031839200","DOUGLAS"
"205","53","17031530502","WEST PULLMAN"
"206","59","17031840400","MCKINLEY PARK"
"207","33","17031841000","NEAR SOUTH SIDE"
"208","77","17031030101","EDGEWATER"
"209","70","17031700302","ASHBURN"
"210","70","17031700402","ASHBURN"
"211","70","17031700401","ASHBURN"
"212","30","17031830500","SOUTH LAWNDALE"
"213","30","17031841700","SOUTH LAWNDALE"
"214","64","17031640100","CLEARING"
"215","30","17031840700","SOUTH LAWNDALE"
"216","31","17031841300","LOWER WEST SIDE"
"217","30","17031301801","SOUTH LAWNDALE"
"218","6","17031060800","LAKE VIEW"
"219","22","17031832300","LOGAN SQUARE"
"220","7","17031832500","LINCOLN PARK"
"221","6","17031832000","LAKE VIEW"
"222","16","17031160601","IRVING PARK"
"223","21","17031210501","AVONDALE"
"224","21","17031210601","AVONDALE"
"225","8","17031081300","NEAR NORTH SIDE"
"226","70","17031700502","ASHBURN"
"227","40","17031836100","WASHINGTON PARK"
"228","38","17031835700","GRAND BOULEVARD"
"229","6","17031061100","LAKE VIEW"
"230","36","17031836400","OAKLAND"
"231","36","17031836500","OAKLAND"
"232","35","17031839600","DOUGLAS"
"233","60","17031840000","BRIDGEPORT"
"234","37","17031835600","FULLER PARK"
"235","4","17031830800","LINCOLN SQUARE"
"236","46","17031460301","SOUTH CHICAGO"
"237","30","17031301701","SOUTH LAWNDALE"
"238","31","17031310400","LOWER WEST SIDE"
"239","53","17031530100","WEST PULLMAN"
"240","8","17031081100","NEAR NORTH SIDE"
"241","15","17031150700","PORTAGE PARK"
"242","30","17031301702","SOUTH LAWNDALE"
"243","70","17031700301","ASHBURN"
"244","49","17031490902","ROSELAND"
"245","6","17031061800","LAKE VIEW"
"246","49","17031490901","ROSELAND"
"247","65","17031650302","WEST LAWN"
"248","6","17031831900","LAKE VIEW"
"249","1","17031830600","ROGERS PARK"
"250","22","17031830900","LOGAN SQUARE"
"251","3","17031830700","UPTOWN"
"252","30","17031300900","SOUTH LAWNDALE"
"253","70","17031700501","ASHBURN"
"254","46","17031460302","SOUTH CHICAGO"
"255","43","17031431302","SOUTH SHORE"
"256","22","17031222900","LOGAN SQUARE"
"257","43","17031431301","SOUTH SHORE"
"258","44","17031440101","CHATHAM"
"259","30","17031301803","SOUTH LAWNDALE"
"260","31","17031310200","LOWER WEST SIDE"
"261","31","17031310300","LOWER WEST SIDE"
"262","31","17031310500","LOWER WEST SIDE"
"263","51","17031510300","SOUTH DEERING"
"264","49","17031491400","ROSELAND"
"265","50","17031500200","PULLMAN"
"266","53","17031530200","WEST PULLMAN"
"267","74","17031740100","MOUNT GREENWOOD"
"268","14","17031140500","ALBANY PARK"
"269","14","17031140800","ALBANY PARK"
"270","30","17031301100","SOUTH LAWNDALE"
"271","15","17031150200","PORTAGE PARK"
"272","15","17031150300","PORTAGE PARK"
"273","30","17031301200","SOUTH LAWNDALE"
"274","74","17031740400","MOUNT GREENWOOD"
"275","2","17031020400","WEST RIDGE"
"276","64","17031640300","CLEARING"
"277","64","17031640600","CLEARING"
"278","1","17031010400","ROGERS PARK"
"279","7","17031071800","LINCOLN PARK"
"280","16","17031160300","IRVING PARK"
"281","31","17031310700","LOWER WEST SIDE"
"282","7","17031071500","LINCOLN PARK"
"283","7","17031071700","LINCOLN PARK"
"284","67","17031671200","WEST ENGLEWOOD"
"285","67","17031670500","WEST ENGLEWOOD"
"286","67","17031670600","WEST ENGLEWOOD"
"287","67","17031670700","WEST ENGLEWOOD"
"288","67","17031670800","WEST ENGLEWOOD"
"289","67","17031670900","WEST ENGLEWOOD"
"290","67","17031671100","WEST ENGLEWOOD"
"291","67","17031671300","WEST ENGLEWOOD"
"292","67","17031671400","WEST ENGLEWOOD"
"293","67","17031671500","WEST ENGLEWOOD"
"294","67","17031671600","WEST ENGLEWOOD"
"295","67","17031670100","WEST ENGLEWOOD"
"296","23","17031230500","HUMBOLDT PARK"
"297","23","17031230600","HUMBOLDT PARK"
"298","24","17031240600","WEST TOWN"
"299","24","17031241000","WEST TOWN"
"300","19","17031191000","BELMONT CRAGIN"
"301","8","17031080300","NEAR NORTH SIDE"
"302","30","17031300800","SOUTH LAWNDALE"
"303","65","17031650200","WEST LAWN"
"304","66","17031660500","CHICAGO LAWN"
"305","22","17031221400","LOGAN SQUARE"
"306","16","17031161000","IRVING PARK"
"307","34","17031340600","ARMOUR SQUARE"
"308","24","17031240500","WEST TOWN"
"309","24","17031240700","WEST TOWN"
"310","24","17031240800","WEST TOWN"
"311","24","17031240900","WEST TOWN"
"312","24","17031241100","WEST TOWN"
"313","19","17031190300","BELMONT CRAGIN"
"314","19","17031190800","BELMONT CRAGIN"
"315","19","17031190900","BELMONT CRAGIN"
"316","19","17031191100","BELMONT CRAGIN"
"317","19","17031191200","BELMONT CRAGIN"
"318","8","17031080100","NEAR NORTH SIDE"
"319","8","17031080400","NEAR NORTH SIDE"
"320","8","17031081000","NEAR NORTH SIDE"
"321","15","17031150600","PORTAGE PARK"
"322","30","17031301600","SOUTH LAWNDALE"
"323","2","17031020500","WEST RIDGE"
"324","53","17031821402","WEST PULLMAN"
"325","75","17031750300","MORGAN PARK"
"326","64","17031640800","CLEARING"
"327","75","17031750100","MORGAN PARK"
"328","74","17031740200","MOUNT GREENWOOD"
"329","65","17031650400","WEST LAWN"
"330","65","17031650500","WEST LAWN"
"331","66","17031660600","CHICAGO LAWN"
"332","22","17031221100","LOGAN SQUARE"
"333","22","17031221300","LOGAN SQUARE"
"334","22","17031221500","LOGAN SQUARE"
"335","2","17031020100","WEST RIDGE"
"336","22","17031221600","LOGAN SQUARE"
"337","16","17031160800","IRVING PARK"
"338","16","17031160900","IRVING PARK"
"339","22","17031222800","LOGAN SQUARE"
"340","16","17031161100","IRVING PARK"
"341","16","17031161200","IRVING PARK"
"342","16","17031161300","IRVING PARK"
"343","65","17031650100","WEST LAWN"
"344","33","17031330200","NEAR SOUTH SIDE"
"345","42","17031420600","WOODLAWN"
"346","42","17031420700","WOODLAWN"
"347","66","17031661000","CHICAGO LAWN"
"348","75","17031823304","MORGAN PARK"
"349","1","17031010100","ROGERS PARK"
"350","23","17031230300","HUMBOLDT PARK"
"351","64","17031640400","CLEARING"
"352","64","17031640500","CLEARING"
"353","64","17031640700","CLEARING"
"354","15","17031151200","PORTAGE PARK"
"355","31","17031310800","LOWER WEST SIDE"
"356","66","17031660400","CHICAGO LAWN"
"357","67","17031670400","WEST ENGLEWOOD"
"358","34","17031340400","ARMOUR SQUARE"
"359","42","17031420800","WOODLAWN"
"360","42","17031421200","WOODLAWN"
"361","66","17031661100","CHICAGO LAWN"
"362","22","17031222500","LOGAN SQUARE"
"363","19","17031190200","BELMONT CRAGIN"
"364","39","17031390600","KENWOOD"
"365","1","17031010300","ROGERS PARK"
"366","1","17031010600","ROGERS PARK"
"367","2","17031020200","WEST RIDGE"
"368","15","17031150800","PORTAGE PARK"
"369","15","17031151100","PORTAGE PARK"
"370","23","17031230100","HUMBOLDT PARK"
"371","16","17031160100","IRVING PARK"
"372","16","17031160200","IRVING PARK"
"373","16","17031160400","IRVING PARK"
"374","31","17031310600","LOWER WEST SIDE"
"375","31","17031310900","LOWER WEST SIDE"
"376","32","17031320400","LOOP"
"377","6","17031061500","LAKE VIEW"
"378","32","17031320600","LOOP"
"379","74","17031740300","MOUNT GREENWOOD"
"380","66","17031660700","CHICAGO LAWN"
"381","22","17031222700","LOGAN SQUARE"
"382","22","17031221200","LOGAN SQUARE"
"383","16","17031160700","IRVING PARK"
"384","22","17031222200","LOGAN SQUARE"
"385","34","17031340500","ARMOUR SQUARE"
"386","33","17031330100","NEAR SOUTH SIDE"
"387","34","17031340300","ARMOUR SQUARE"
"388","35","17031350400","DOUGLAS"
"389","75","17031750500","MORGAN PARK"
"390","75","17031750400","MORGAN PARK"
"391","75","17031750200","MORGAN PARK"
"392","43","17031430200","SOUTH SHORE"
"393","66","17031660800","CHICAGO LAWN"
"394","66","17031660900","CHICAGO LAWN"
"395","67","17031670200","WEST ENGLEWOOD"
"396","67","17031670300","WEST ENGLEWOOD"
"397","22","17031222600","LOGAN SQUARE"
"398","23","17031230400","HUMBOLDT PARK"
"399","17","17031170400","DUNNING"
